,0
0,0.10351489395955088
1,0.09727126312625459
2,0.11531270011269454
3,0.11934776493583249
4,0.0976862861063113
5,0.10817511242773126
6,0.13311325716328448
7,0.10055576363896394
8,0.09634818997038037
9,0.12324069588922412
10,0.11577143926912926
11,0.12166673084374173
12,0.10689178585270351
13,0.12104917186929703
14,0.11139870789602557
15,0.09596332136486838
16,0.08444639423658828
17,0.12200206450331641
18,0.099002280578842
19,0.12701635122664628
20,0.1206797827652175
21,0.12047194296825353
22,0.11806697100852502
23,0.09619929161617313
24,0.13028876727988797
25,0.11585816599231019
26,0.09905712472135816
27,0.11072278787043907
28,0.11314737533770558
29,0.0718119984383002
30,0.11939221811553462
31,0.10318644088511394
32,0.09743917441765441
33,0.1088837607660344
34,0.10215959208182426
35,0.11697994891208999
36,0.1321037643086134
37,0.12213851819228433
38,0.11622621503639673
39,0.07591653436671733
40,0.09022525070054327
41,0.11094233174124506
42,0.11007305343070309
43,0.08351382265039528
44,0.10762758650446781
45,0.10711773251062029
46,0.09455617520126156
47,0.12334046846063462
48,0.10358053360338815
49,0.0931356031875853
50,0.10450658310350512
51,0.10381404199637898
52,0.10265934283964337
53,0.10838649074003355
54,0.09597860797750678
55,0.12280304071434031
56,0.09921532475467079
57,0.11265314431150235
58,0.1242621582428089
59,0.1029961478538273
60,0.12824460648122943
61,0.09360055821772474
62,0.11509988314300931
63,0.1001803467805998
64,0.10144632567902905
65,0.09121417882947568
66,0.11405990053295731
67,0.09317061202844487
68,0.11955566441759931
69,0.11600908152431388
70,0.09625578643940413
71,0.11172919389694286
72,0.10296004692168707
73,0.11545514815950278
74,0.1422110739880187
75,0.1095565578446097
76,0.09846583531039824
77,0.11553962380152487
78,0.07973303512577665
79,0.09719060076102762
80,0.10131016319212408
81,0.08731883544405845
82,0.1263536976450909
83,0.07922907711025125
84,0.09517246908729285
85,0.11944869595467435
86,0.12323439541083232
87,0.10348909629676176
88,0.13376791109475328
89,0.11258103541847259
90,0.08420700818309636
91,0.10779106741940611
92,0.07547335501995509
93,0.10864153649741516
94,0.10099877632606677
95,0.10008058351732162
96,0.09624010452841641
97,0.09984122761151473
98,0.10022517914374002
99,0.08656705632825423
100,0.09818075959010308
101,0.3493519056806034
102,0.09836304513488628
103,0.12541937744620252
104,0.11235627447695923
105,0.08652909435602446
106,0.12836655341516856
107,0.10805557721500769
108,0.12329422386823019
109,0.10336503630614877
110,0.0827543283900987
111,0.12043859808003837
112,0.08815415921782967
113,0.11105501959041535
114,0.11584142775573207
