,0
0,2191.3015246109117
1,1984.8580260239912
2,242.5068229681862
3,191.38772837869425
4,1599.597546301042
5,1673.1149721303477
6,466.4166670273442
7,2920.0670913166846
8,827.040610538798
9,2320.3704831370014
10,1334.9699848483945
11,1437.4928750040597
12,2486.3528315158683
13,2923.8227446055366
14,270.41805259906573
15,2262.965180510855
16,2004.3507571338585
17,1683.9613615229584
18,1245.085917333397
19,1570.9712100957272
20,926.5008649330084
21,2809.1038281556284
22,531.4667765337852
23,585.678690061016
24,2168.9614270073926
25,1476.2331932311129
26,1959.2404663022269
27,1896.112866986796
28,2197.765728497722
29,556.3189032023789
30,2153.7862915905403
31,1090.5762325523028
32,2122.114604359174
33,1149.3096981039823
34,2501.733653413808
35,2562.1824307636907
36,1958.9156759896784
37,910.8337428448331
38,1312.6221967393349
39,1183.3830918156987
40,668.7786259468867
41,339.5051109497187
42,1921.8955129925953
43,1435.7275407569812
44,341.27268009762986
45,1945.2757204558425
46,1855.9644539401559
47,1643.5744306110098
48,464.10813846376175
49,1479.5126561952911
50,1590.4596166971705
51,490.0379415964933
52,865.1334603520698
53,2992.133066882447
54,2927.3295066185456
55,2699.101688580709
56,1547.7430408424955
57,2236.0265435396786
58,452.4209369347044
59,1366.8406240417269
60,2137.382140543528
61,1030.1823136735854
62,2552.5352508242954
63,2415.4779194278008
64,953.8374890704898
65,275.78481975535755
66,1935.08610526761
67,817.3772208187775
68,2287.641330913818
69,1749.1308732451096
70,2619.8057975031993
71,363.32903253398206
72,1414.5290524993366
73,2592.6638145814545
74,2495.3283328220946
75,2525.7258363378537
76,372.3870379633709
77,1514.2500509633176
78,1847.9704350465358
79,1687.6457929443857
80,182.65145428759445
81,2343.471937906395
82,2265.549480041967
83,1558.4124593394713
84,574.9406013581014
85,638.8802865274766
86,179.03766539850812
87,1718.0437236120652
88,2152.4800903918926
89,2062.538882574688
90,1653.3963162257635
91,1347.695137320953
92,2157.500698832477
93,1719.8248309357177
94,1826.0869521740053
95,419.80728025095215
96,2937.0175828173237
97,207.31220437446723
98,2027.8437115358354
99,2181.458879405023
100,1298.783834742958
101,2176.7974128923265
102,2887.1629513807425
103,2245.744051847077
104,2415.183413934671
105,766.9635513719143
106,1881.2859024028687
107,766.989230883248
108,1974.46025580368
109,2569.0251118734895
110,1248.0558537073623
111,768.0811968440509
112,2724.228249410565
113,915.2673380098618
114,999.0846700897541
115,2957.463585862885
116,2848.42331203545
117,2554.0244711164532
118,502.6417239991281
119,2382.507627872305
120,1336.3924224764537
121,1356.0338119753255
122,951.272631178348
123,970.5715802588106
124,725.8292737070631
125,1085.363035197916
126,310.22513486597194
127,1286.45012973943
128,1598.2003306385773
129,2984.696765810213
130,698.1320919496583
131,2122.7835242241035
132,902.9016735362314
133,1038.8389183674108
134,2807.6568747949054
135,1732.6570345762373
136,2551.2298210813183
137,2903.4377573192387
138,1722.4185595799024
139,2575.182994222842
140,2789.8409239189846
141,1353.891678700133
142,466.19919750832366
143,1523.7268085324406
144,995.7029205025065
145,2610.34388612919
146,2845.7839497567056
147,281.2839952150243
148,1473.8703636373118
149,763.118806593579
150,1519.2855288526089
151,375.8295448550767
152,1073.5225361984178
153,463.44392035751565
154,1319.5130556536583
155,306.00191075100577
156,2079.000698419118
157,2765.350464995535
158,2672.2718759281547
159,1574.0157685992126
160,450.62934060293793
161,2471.450847161951
162,1683.042230619507
163,691.459297474802
164,1978.8530947750119
165,2419.3690722115375
166,1042.1656402128856
167,2221.98283164879
